subfamily,genus,species
Ectrichodiinae,Ectrychotes,Ectrychotes comottoi
Ectrichodiinae,Ectrychotes,Ectrychotes andreae
Ectrichodiinae,Haematoloecha,Haematoloecha nigrorufa
Harpactorinae,Biasticus,Biasticus flavinotus
Harpactorinae,Cydnocoris,Cydnocoris russatus
Harpactorinae,Endochus,Endochus cingalensis
Harpactorinae,Epidaus,Epidaus famulus
Harpactorinae,Epidaus,Epidaus tuberosus
Harpactorinae,Epidaus,Epidaus sexspinus
Harpactorinae,Isyndus,Isyndus obscurus
Harpactorinae,Macracanthopsis,Macracanthopsis nodipes
Harpactorinae,Polididus,Polididus armatissimus
Harpactorinae,Rhynocoris,Rhynocoris marginellus
Harpactorinae,Rhynocoris,Rhynocoris incertis
Harpactorinae,Rhynocoris,Rhynocoris rubromarginatus
Harpactorinae,Scipinia,Scipinia horrida
Harpactorinae ,Sclomina,Sclomina erinacea
Harpactorinae,Sphedanolestes,Sphedanolestes impressicollis
Harpactorinae ,Sphedanolestes,Sphedanolestes trichrous
Harpactorinae,Sycanus,Sycanus bifidus
Peiratinae,Ectomocoris,Ectomocoris atrox
Peiratinae,Peirates,Peirates turpis
Peiratinae ,Sirthenea,Sirthenea flavipes
Reduviinae ,Acanthaspis,Acanthaspis immodesta
Reduviinae ,Acanthaspis,Acanthaspis cincticrus
Stenopodainae,Pygolampis,Pygolampis bidentata
Triatominae ,Triatoma,Triatoma rubrofasciata
